nr,name
516,PETER LANG PUBLISHING INC
517,PHILOSOPHY DOCUMENTATION CENTER
518,PHILOSOPHY DOCUMENTATION CTR
519,PHYSICA-VERLAG GMBH & CO
520,PICKERING & CHATTO PUBL
521,PLUTO PRESS
522,POLICY PRESS
523,"POLISH ACAD SCIENCE, INST SYSTEMATICS EVOLUTION ANIMALS"
524,"POLISH ACAD SCIENCES, MUSEUM & INST ZOOLOGY, PAN-MUZEUM I INSTYTUT ZOOLOGII"
525,POLISH SCIENTIFIC PUBLISHERS PWN
526,POLSKIE TOWARZYSTWO ENTOMOLOGICZNE
527,POLY PRESS
528,"PONTIFICIA UNIV CATOLICA CHILE, FAC TEOLOGIA"
529,PONTIFICIA UNIV JAVERIANA-CALI
530,PORTLAND PRESS LTD
531,POTOMAC BOOKS
532,PRAESENS VERLAG
533,PRAXIS PUBLISHING LTD
534,PRESSES UNIV MIDI-PUM
535,PRESSES UNIV MIRAIL
536,PRINCETON UNIV PRESS
537,PRODUCTIVITY PRESS
538,PROFESSIONAL & HIGHER
539,PROMETHEUS BOOKS
540,PROQUEST INFO & LEARNING
541,PROVERSE HONG KONG
542,PSYCHOLOGY PRESS
543,PUBLICACIONES UNIV VALENCIA
544,PUBLICATIONS SCIENTIQUES DU MUSEUM
545,PURDUE UNIV PRESS
546,PURICH PUBL LTD
547,QUINTESSENCE PUBLISHING CO INC
548,RAM-VERLAG
549,REAL SOC ESPANOLA HIST NATURAL
550,Reeds
551,RENAISSANCE INST
552,RESOURCES FOR THE FUTURE PRESS
553,RIDGE BOOKS
554,RIVER PUBLISHERS
555,ROSENBERG & SELLIER
556,ROUTLEDGE
557,ROUTLEDGE & KEGAN PAUL INC
558,ROWMAN & LITTLEFIELD PUBL INC
559,ROYAL ARMOURIES
560,ROYAL COLL PSYCHIATRISTS
561,ROYAL HISTORICAL SOC
562,ROYAL SOC CHEMISTRY
563,RTI PRESS
564,RTU PRESS
565,RUSSELL SAGE FOUNDATION
566,"RUSSIAN ACAD SCIENCES, INST FAR EASTERN STUDIES"
567,S E P M - SOC SEDIMENTARY GEOLOGY
568,SAE INTERNATIONAL
569,SAGE PUBLICATIONS INC
570,SAS INST INC
571,SCHATTAUER GMBH-VERLAG MEDIZIN NATURWISSENSCHAFTEN
572,SCIENCE HISTORY PUBLICATIONS/ USA
573,SCIENCE PRESS BEIJING
574,SCIENCE PUBLISHERS INC
575,SCIENDO
576,SCIENTIFIC PUBLISHERS
577,SCITECH PUBL INC
578,SCPG PUBLISHING CORP
579,SCRIVENER PUBLISHING LLC
580,SCUOLA NORMALE SUPERIORE
581,SEA - SOC ENTOMOL ARAGONESA
582,SELLO EDITORIAL UNICATOLICA-FUND UNIV CATOLICA LUMEN GENTIUM
583,SEMIOTEXT-E
584,SENCKENBERG GESELLSCHAFT NATURFORSCHUNG
585,SENCKENBERGISCHE NATURFORSCHENDE GESELLSCHAFT
586,SENN DELANEY
587,SENSE PUBLISHERS
588,SERBIAN ACAD SCIENCES ARTS
589,SGU-SVERIGES GEOLOGISKA UNDERSOKNING-GEOLOGY SURVEY SWEDEN
590,SIAM
591,SIAM SOC ROYAL PATRONAGE
592,SILENO EDIZIONI
593,SILKWORM BOOKS
594,SIMON AND SCHUSTER
595,SINAUER ASSOC
596,SKIRA EDITORE S P A
597,SLACK INC
598,SLOVAK ACAD SCIENCES
599,SLOVAK ACADEMY SCIENCES MATHEMATICAL INSTITUTE
600,SLOVENSKA AKADEMIJA ZNANOSTI UMETNOSTI
601,SLOVENSKE PEDAGOGICKE NAKLADATELSTVO
602,SOC BRASILEIRA PALEONTOLOGIA
603,SOC CHIMICA ITALIANA
604,"SOC ECONOMIC GEOLOGISTS, INC"
605,SOC EXPLORATION GEOPHYSICISTS
606,SOC MINING METALLURGY & EXPLORATION INC
607,SOC NAUTICAL RESEARCH
608,SOC PROMOTION SCIENCE & SCHOLARSHIP-SPOSS
609,SOCIAL INSURANCE INST
610,SOCIETE MATHEMATIQUE FRANCE
611,SOIL SCIENCE SOC AMER
612,SOLIVAGUS-VERLAG
613,Sonntag Verlag in
614,SOUTH AFRICAN NATL BIODIVERSITY INST-SANBI
615,SOUTH DAKOTA ACAD SCIENCE
616,South Limestone Books
617,SPEKTRUM AKADEMISCHER VERLAG GMBH
618,SPIE-INT SOC OPTICAL ENGINEERING
619,SPINGER-VERLAG IBERICA
620,SPON PRESS
621,SPRINGER
622,SPRINGER BASEL AG
623,SPRINGER INDIA
624,SPRINGER INTERNATIONAL PUBLISHING AG
625,SPRINGER JAPAN KK
626,SPRINGER NATURE SWITZERLAND AG
627,SPRINGER PUBLISHING CO
628,SPRINGER SPEKTRUM/SPRINGER FACHMEDIEN
